"No.","Time","Source","Destination","Protocol","Length","Info"
"15062","139.450492","104.18.32.47","192.168.88.132","QUIC","1242","Protected Payload (KP0)"
"15063","139.450492","104.18.32.47","192.168.88.132","QUIC","1242","Protected Payload (KP0)"
"15064","139.450492","104.18.32.47","192.168.88.132","QUIC","1242","Protected Payload (KP0)"
"15065","139.450492","104.18.32.47","192.168.88.132","QUIC","1242","Protected Payload (KP0)"
"15066","139.450492","104.18.32.47","192.168.88.132","QUIC","1242","Protected Payload (KP0)"
"15067","139.450492","104.18.32.47","192.168.88.132","QUIC","1242","Protected Payload (KP0)"
"15068","139.450492","104.18.32.47","192.168.88.132","QUIC","1242","Protected Payload (KP0)"
"15069","139.450492","104.18.32.47","192.168.88.132","QUIC","1242","Protected Payload (KP0)"
"15070","139.450492","104.18.32.47","192.168.88.132","QUIC","1242","Protected Payload (KP0)"
"15071","139.450492","104.18.32.47","192.168.88.132","QUIC","1242","Protected Payload (KP0)"
"15072","139.450492","104.18.32.47","192.168.88.132","QUIC","1242","Protected Payload (KP0)"
"15073","139.450492","104.18.32.47","192.168.88.132","QUIC","1242","Protected Payload (KP0)"
"15074","139.450492","104.18.32.47","192.168.88.132","QUIC","1242","Protected Payload (KP0)"
"15075","139.450492","104.18.32.47","192.168.88.132","QUIC","1242","Protected Payload (KP0)"
"15076","139.450492","104.18.32.47","192.168.88.132","QUIC","1242","Protected Payload (KP0)"
"15077","139.450492","104.18.32.47","192.168.88.132","QUIC","1242","Protected Payload (KP0)"
"15078","139.450492","104.18.32.47","192.168.88.132","QUIC","1242","Protected Payload (KP0)"
"15079","139.450966","104.18.32.47","192.168.88.132","QUIC","1242","Protected Payload (KP0)"
"15080","139.450966","104.18.32.47","192.168.88.132","QUIC","1242","Protected Payload (KP0)"
"15081","139.450966","104.18.32.47","192.168.88.132","QUIC","1242","Protected Payload (KP0)"
"15082","139.450966","104.18.32.47","192.168.88.132","QUIC","1242","Protected Payload (KP0)"
"15083","139.450966","104.18.32.47","192.168.88.132","QUIC","987","Protected Payload (KP0)"
"15084","139.450966","104.18.32.47","192.168.88.132","QUIC","68","Protected Payload (KP0)"
"15085","139.451233","192.168.88.132","104.18.32.47","QUIC","95","Protected Payload (KP0), DCID=0121ab7a4171307f5621497a4571198ab6e419f2"
"15086","139.451503","192.168.88.132","104.18.32.47","QUIC","90","Protected Payload (KP0), DCID=0121ab7a4171307f5621497a4571198ab6e419f2"
"15087","139.451510","104.18.32.47","192.168.88.132","QUIC","68","Protected Payload (KP0)"
"15088","139.451510","104.18.32.47","192.168.88.132","QUIC","68","Protected Payload (KP0)"
